review_no,star,review,customerId,reviewDate,pd_no,subcate_no,category_no
89,5,"물건이 튼튼하고 설치하기도 좋네요",mhy7****,21.02.12.,2,선반,수납가구
90,3,"아직 못달았는데~ 생각보다 엄청 무겁네요^^;;;;",endw****,21.02.13.,2,선반,수납가구
91,5,"감사합니다 번창하세요 마니파시길 좋아요 번창하세요 대박나세요 감사합니다",a255****,21.03.05.,2,선반,수납가구
92,4,"석고보드에는 사용하기 어렵습니다. 구매하시는분들 참고하시기 바랍니다. ㄱ자 앵글 덧대서 붙였네요ㅇㅇㅇ",msh6****,21.02.26.,2,선반,수납가구
93,4,"박을 못 포함이면 좋을것같아요 목재나 이런건 만족합니다 잘쓸게요~~",tyjk****,21.01.31.,2,선반,수납가구
94,3,않좋아요~~~~~~~~~~~~,tpfx****,21.03.12.,2,선반,수납가구
95,5,선반이쁘네요!집에분위기업!,love****,21.02.06.,2,선반,수납가구
96,5,나무질도좋고가성비조아요,jerr****,21.02.08.,2,선반,수납가구
97,3,"마감은 별로지만 싼값에 쓸만합니다",dkr4****,21.02.27.,2,선반,수납가구
98,3,"고급진느낌은아니구요.그냥 쏘쏘. 나사는근데왜 구성에없는걸까요..",jjuy****,21.02.18.,2,선반,수납가구
99,4,"배송도 빠르고 마음에 들어요^^감사합니다~!",zlxl****,21.02.21.,2,선반,수납가구
100,4,"배송도 빠르고 마음에 들어요~! 감사합니다^^",zlxl****,21.02.21.,2,선반,수납가구
101,1,"너무 무거워서 기울어져요",ylov****,21.05.16.,2,선반,수납가구
102,1,"너무 무거워서 기울어져요",ylov****,21.05.16.,2,선반,수납가구
103,1,"너무 무거워서 석고벽에서는 그냥 기울어져서 빠져버려요....",ylov****,21.05.16.,2,선반,수납가구
104,1,"가격적인 면에서 이케아 라크 선반이랑 비교해도 마감, 시공성 다 떨어집니다. 그리고 아무리 저렴하다고 해도 이건 정말 해도 너무 하는 제품입니다. 
110 사이즈 6개, 59.5 사이즈 5개 주문해서 6개 설치하고 너무 짜증나서 박스채 버렸습니다. 무지주 선반인데 'ㄱ'자형 꺽쇠 사용했습니다.
선반과 벽에 고정된 피스를 연결하는 걸쇠가 선반보다 튀어나와서 애초에 벽에 붙일수가 없는 디테일을 가지고 있고, 동봉된 피스는 목재용이라 선반의 무게를 버티질 못 합니다. 
이런걸 만든다는 것도 판매한다는 것도 이해가 안될 수준의 제품 입니다. 
기존에 마켓비의 다른 제품들 저렴한 가격이라 몇번 구매도 했고, 디테일 안좋아도 가성비 생각하며 만족했습니다. 그런데 이 제품은 너무 최악이라 저같은 피해자가 안 생기도록 리뷰 남깁니다.",tpal****,21.04.07.,2,선반,수납가구
